comparison,pair,Cell type category,other Cell type category,symbol,delta,lambda,gene error mean,rank,level
36,natural_killer t_cell,natural_killer,t_cell,ENST00000390893,-52.73658745651119,9.0931029338064,0.13005511753819712,7,2
36,natural_killer t_cell,natural_killer,t_cell,ENST00000427824,-44.01226279577446,6.069363128428684,0.1300591726230295,8,2
36,natural_killer t_cell,natural_killer,t_cell,ENST00000410792,-43.81486400974836,8.121776475893576,0.1056431172703558,9,2
26,mono_derived dendritic,mono_derived,dendritic,"ENST00000538676,p1",-13.986901609173014,6.291081820038696,0.12491308191648334,3,2
26,mono_derived dendritic,mono_derived,dendritic,C14orf166,-13.914992073620851,8.185693651620035,0.04534540393527618,4,2
26,mono_derived dendritic,mono_derived,dendritic,LOC728323,-13.011481692015998,5.194145795045595,0.246182215394656,5,2
26,mono_derived dendritic,mono_derived,dendritic,FAM175A,-8.117682973398104,5.6741563890220466,0.12812332089359696,6,2
26,mono_derived dendritic,mono_derived,dendritic,C9orf156,-6.030330363847526,6.268947037518519,0.03638496519247558,7,2
26,mono_derived dendritic,mono_derived,dendritic,CCDC94,-4.92472198976418,6.171237868529731,0.04693380482549763,8,2
26,mono_derived dendritic,mono_derived,dendritic,LOC100270804,-4.045666117217628,4.4318536197143805,0.31767166973271,9,2
42,t_cell natural_killer,t_cell,natural_killer,RPL14P5,0.02017553537846963,4.563704162707886,0.3493636015197981,1,2
42,t_cell natural_killer,t_cell,natural_killer,ENST00000309865,5.673952776406422,4.554347174842346,0.35148825929987293,2,2
42,t_cell natural_killer,t_cell,natural_killer,TRAV17,6.4333258698021965,4.412239525357181,0.1697795902864754,3,2
42,t_cell natural_killer,t_cell,natural_killer,ENST00000401004,7.477651198547777,5.290229837665127,0.38136473212025507,4,2
42,t_cell natural_killer,t_cell,natural_killer,ENST00000429825,8.841588933544779,4.460926912850461,0.39436256143197523,5,2
42,t_cell natural_killer,t_cell,natural_killer,ENST00000506046,9.009647179695849,4.251969397355609,0.3677439892840567,6,2
42,t_cell natural_killer,t_cell,natural_killer,CACHD1,10.314378274909442,4.153339050146949,0.20807371961184554,7,2
42,t_cell natural_killer,t_cell,natural_killer,H19,12.830624055413866,4.021396346967036,0.32282837731601777,8,2
42,t_cell natural_killer,t_cell,natural_killer,TRBV20-1,13.43874701788515,4.7667865741448825,0.2035731631764112,9,2
