sample,error mean,pair,ct1,ct2,error min,error mean relative,n markers pass 1,n markers
268_mast_cell t_cell,0.0090412562254436,granulocyte mast_cell,granulocyte,mast_cell,0.05,0.4252353754203335,33,NA
34_b_cell dendritic,0.008992369232222037,mono_derived b_cell,mono_derived,b_cell,0.05,0.42408417165044104,29,NA
130_mono_derived t_cell,0.008889405226013208,dendritic t_cell,dendritic,t_cell,0.05,0.42164926718810286,54,NA
227_b_cell mast_cell,0.008757187641032532,mono_derived b_cell,mono_derived,b_cell,0.05,0.41850179548079675,29,NA
112_epithelial fibroblast,0.008245545667588564,endothelial fibroblast,endothelial,fibroblast,0.05,0.4060922473426097,30,NA
121_dendritic granulocyte,0.008050328825832028,mono_derived dendritic,mono_derived,dendritic,0.05,0.40125624794716974,31,NA
26_natural_killer t_cell,0.007939457959641568,granulocyte natural_killer,granulocyte,natural_killer,0.05,0.39848357455838923,53,NA
36_b_cell mono_derived,0.007795170943683383,t_cell b_cell,t_cell,b_cell,0.05,0.39484606984705783,47,NA
244_endothelial epithelial,0.007282582501879745,fibroblast endothelial,fibroblast,endothelial,0.05,0.38164335450469317,30,NA
50_mast_cell mono_derived,0.007240572604799539,granulocyte mast_cell,granulocyte,mast_cell,0.05,0.3805409992313453,33,NA
40_dendritic granulocyte,0.00702472250526846,t_cell dendritic,t_cell,dendritic,0.05,0.3748258930561884,54,NA
21_granulocyte natural_killer,0.007002688646341855,mono_derived natural_killer,mono_derived,natural_killer,0.05,0.37423758887481773,53,NA
232_dendritic mast_cell,0.006313837628978551,natural_killer dendritic,natural_killer,dendritic,0.05,0.35535440419329406,74,NA
114_fibroblast immune_cell,0.005988855298970233,endothelial immune_cell,endothelial,immune_cell,0.05,0.34608829217326126,62,NA
24_mono_derived natural_killer,0.0057363171888666865,t_cell mono_derived,t_cell,mono_derived,0.05,0.33871277474777023,71,NA
160_mast_cell t_cell,0.005321315446057212,epithelial mast_cell,epithelial,mast_cell,0.05,0.32623045369974923,NA,NA
32_epithelial immune_cell,0.00503580800695889,endothelial immune_cell,endothelial,immune_cell,0.05,0.3173580944913455,62,NA
54_mast_cell natural_killer,0.005024643762633461,fibroblast mast_cell,fibroblast,mast_cell,0.05,0.3170061123269853,NA,NA
204_dendritic t_cell,0.004775003935943926,mono_derived dendritic,mono_derived,dendritic,0.05,0.3090308701713771,31,NA
19_granulocyte t_cell,0.004753808864715861,natural_killer granulocyte,natural_killer,granulocyte,0.05,0.3083442512749625,53,NA
158_mast_cell mono_derived,0.004615000399948885,granulocyte mast_cell,granulocyte,mast_cell,0.05,0.30380916378374384,33,NA
172_b_cell t_cell,0.004416349717008572,natural_killer t_cell,natural_killer,t_cell,0.05,0.2971985772849046,59,NA
91_b_cell t_cell,0.004257602305562231,natural_killer t_cell,natural_killer,t_cell,0.05,0.29180823516694077,59,NA
29_endothelial fibroblast,0.003938431591311944,epithelial endothelial,epithelial,endothelial,0.05,0.28065749914484533,41,NA
22_mono_derived t_cell,0.003923825981634876,b_cell mono_derived,b_cell,mono_derived,0.05,0.28013660887627223,29,NA
174_b_cell natural_killer,0.0038600620486841184,mono_derived b_cell,mono_derived,b_cell,0.05,0.27785111296102877,29,NA
133_mast_cell t_cell,0.003800302769823548,fibroblast mast_cell,fibroblast,mast_cell,0.05,0.2756919574388614,NA,NA
216_mast_cell natural_killer,0.0036127841875130753,fibroblast mast_cell,fibroblast,mast_cell,0.05,0.2688041736101981,NA,NA
135_mast_cell natural_killer,0.0033250447962950083,b_cell natural_killer,b_cell,natural_killer,0.05,0.2578776762845132,54,NA
199_b_cell t_cell,0.0032515948527965946,mono_derived b_cell,mono_derived,b_cell,0.05,0.25501352328049565,29,NA
4_epithelial fibroblast,0.0030553692993232143,endothelial epithelial,endothelial,epithelial,0.05,0.2471990816861266,41,NA
73_granulocyte t_cell,0.0030021094654935766,mono_derived granulocyte,mono_derived,granulocyte,0.05,0.24503507771311342,57,NA
185_mast_cell mono_derived,0.002915565286548676,dendritic mono_derived,dendritic,mono_derived,0.05,0.2414773399948192,31,NA
87_fibroblast immune_cell,0.0028608265542312186,endothelial immune_cell,endothelial,immune_cell,0.05,0.2391997723339727,62,NA
223_b_cell dendritic,0.0028044605146080094,mono_derived b_cell,mono_derived,b_cell,0.05,0.2368316074601534,29,NA
179_dendritic natural_killer,0.0027093331608290076,mono_derived dendritic,mono_derived,dendritic,0.05,0.23278028957920846,31,NA
198_b_cell mono_derived,0.0027032930064763974,dendritic mono_derived,dendritic,mono_derived,0.05,0.23252066602675975,31,NA
205_dendritic mast_cell,0.0026348838373172812,fibroblast dendritic,fibroblast,dendritic,0.05,0.22955974548327418,NA,NA
192_endothelial immune_cell,0.0024432935288466254,epithelial endothelial,epithelial,endothelial,0.05,0.2210562611122619,41,NA
97_dendritic mast_cell,0.002196413905003731,mono_derived dendritic,mono_derived,dendritic,0.05,0.20959073953797344,31,NA
